Assembly,Component,Quantity,Notes
,Beads - 15/0 Charlotte Bronze,0.51,
,Beads - 15/0 Charlotte Crystal Silver,0.17,
,Thread - Nymo Nylon White Size 0,0.00242,
,Thread - Nymo Nylon White Size 00,0.00063,
Drew Luxe Double Wrap,Leather - Large Bracelet Strip,1,
,Beads - 15/0 Charlotte Czech Gold,1.71,
,Beads - 15/0 Charlotte Czech Silver,1.71,
,Labor for Double Wrap,1,
,"Leather - Lace, 1mm",1,
,Beads - 15/0 Charlotte Bronze,1.71,
,Beads - 15/0 Charlotte Crystal Silver,1.71,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00484,
,Thread - Nymo Nylon White Size 00,0.00126,
,"Button, Etkie logo - large",1,
Iris Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,2.4,
,Beads - 15/0 Charlotte Czech Silver,3.6,
,Labor for Large Luxe Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Drew Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,1.5,
,Beads - 15/0 Charlotte Czech Silver,1.5,
,Beads - 15/0 Charlotte Bronze,1.5,
,Beads - 15/0 Charlotte Crystal Silver,1.5,
,Labor for Large Luxe Cuff,1,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Philomena Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,1.5,
,Beads - 15/0 Charlotte Czech Silver,3,
,Labor for Large Luxe Cuff,1,
,Beads - 15/0 Charlotte Bronze,1.5,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Thunderbird Luxe Cuff Large,Stamped Leather Cuff Large,1,
,Beads - 15/0 Charlotte Czech Gold,1.2,
,Beads - 15/0 Charlotte Czech Silver,3.6,
,Labor for Large Luxe Cuff,1,
,Beads - 15/0 Charlotte Bronze,0.9,
,Beads - 15/0 Charlotte Crystal Silver,3,
,"Glue - Aleene's, 8 oz",0.0005,
,Thread - Nymo Nylon White Size 0,0.00415,
,Thread - Nymo Nylon White Size 00,0.00167,
Blake Luxe Earrings Gold,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Double Wrap,1,
,Earrings,1,
,Thread - Nymo Nylon White Size 00,0.00063,
,Beads - 15/0 Charlotte Czech Gold,4,
Blake Luxe Earrings Silver,"Glue - Aleene's, 8 oz",0.0005,
,Labor for Double Wrap,1,
,Thread - Nymo Nylon White Size 00,0.00063,
,Earrings,1,
,Beads - 15/0 Charlotte Czech Silver,4,
Nikki Luxe Earrings Gold Medium,Earrings,1,
,Labor for Double Wrap,1,
,Beads - 15/0 Charlotte Czech Gold,3.5,
,Thread - Nymo Nylon White Size 00,0.00063,
Nikki Luxe Earrings Gold Large,Earrings,1,
,Labor for Large Luxe Cuff,1,
,Beads - 15/0 Charlotte Czech Gold,4,
,Thread - Nymo Nylon White Size 00,0.00063,
Hillary Luxe Earrings Silver Large,Earrings,1,
,Labor for Large Luxe Cuff,1,
,Beads - 15/0 Charlotte Czech Silver,4,
,Thread - Nymo Nylon White Size 00,0.00063,
Hillary Luxe Earrings Silver Medium,Labor for Double Wrap,1,
,Earrings,1,
,Beads - 15/0 Charlotte Czech Silver,3.5,
,Thread - Nymo Nylon White Size 00,0.00063,
"Packaging, D2C, Large","Packaging - Marketing Card, 4-fold brochure",1,
,Packaging - Bubble Pouch,1,
,"Packaging - Marketing, Thank You Note",1,
,Packaging - Bracelet Pouch,1,
"Packaging, D2C, Small","Packaging - Marketing Card, 4-fold brochure",1,
,Packaging - Bubble Pouch,1,
,"Packaging - Marketing, Thank You Note",1,
,Packaging - Bracelet Pouch,1,
"Packaging, Wholesale","Packaging - Marketing Card, 4-fold brochure",1,
,Packaging - Bubble Pouch,1,
,"Packaging - Marketing, Thank You Note",1,
,Packaging - Bracelet Pouch,1,
James Glass Cuff Small,Labor for Small Cuff,1,
,Stamped Leather Cuff Small,1,
,Beads - Dark Gray 15-377N,2.9,
,Beads - Silver 15-4201,0.34,
,Beads - Gold 15-4202,0.17,
,"Glue - Aleene's, 8 oz",0.0005,
