Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
drew-red-small,Drew Red Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Red,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Drew_Red_Small.jpg?v=1614533696,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
drew-small,Drew Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Drew_Small.jpg?v=1614533701,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
ella-large,Ella Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Ella_Large.jpg?v=1614533742,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
ella-small,Ella Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Ella_Small.jpg?v=1614533704,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
fiona-large,Fiona Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Fiona_Large.jpg?v=1614533735,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
garnet-large,Garnet Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Garnet_Large.jpg?v=1614533623,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
garnet-small,Garnet Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Garnet_Small.jpg?v=1614533602,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
grace-large,Grace Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Grace_Large.jpg?v=1614533712,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
grace-small,Grace Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Grace_Small.jpg?v=1614533676,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
harlow-large,Harlow Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,250,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Harlow_Large.jpg?v=1614533736,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
harlow-small,Harlow Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Dark Skies,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Harlow_Small.jpg?v=1614533690,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
harmony-large,Harmony Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Black Tourmaline,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Harmony_Large.jpg?v=1614533758,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
harmony-small,Harmony Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Black Tourmaline,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Harmony_Small.jpg?v=1614533749,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
honor-large,Honor Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Honor_Large.jpg?v=1614533616,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
honor-large-seven,Honor Large 7 inch,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,288,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Honor_Large.jpg?v=1614533616,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
honor-small,Honor Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Honor_Small.jpg?v=1614533602,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
honor-small-seven,Honor Small 7 inch,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,228,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Honor_Small.jpg?v=1614533602,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
hyacinth-large,Hyacinth Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Hyacinyth_Large.jpg?v=1614533624,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
hyacinth-small,Hyacinth Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Bramble,FALSE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Hyacinyth_Small.jpg?v=1614533597,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
jack-large,Jack Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Jack_Large.jpg?v=1614533742,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
jack-small,Jack Small,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Desert,TRUE,Title,Default Title,,,,,,250,,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_Jack_Small.jpg?v=1614533699,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
james-large,James Large,ETKIE bracelets are hand-beaded in collaboration with talented Navajo artisans in New Mexico.,ETKIE,bracelet,Heritage,TRUE,Title,Default Title,,,,,,250,,deny,manual,278,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0824/5717/files/col2021_James_Large.jpg?v=1614533741,1,,FALSE,Etkie jewelry made in New Mexico,Handmade Native American beaded bracelets,,,,,,,,,,,,,,,,,,active
